file_path,file_name,folder,status,confidence,min_distance,closest_reference,dimensions,file_size_kb,phash
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-006-whats-inside-a-seed.png","lesson-006-whats-inside-a-seed.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,24.25,125,"facing to the left.png",1344x768,1245.7,8331b9c21ae31ca29b6edac6d69c968787369837c6819d7c8eca192ebac593b2
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-009-how-kindness-spreads.png","lesson-009-how-kindness-spreads.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,21.25,128,"close up of kellys eyes.png",1344x768,799.29,9266c7331ccc733ccce9998c4d39cce63198cc7339c47331ce67318cce336666
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-010-the-art-of-really-listening.png","lesson-010-the-art-of-really-listening.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,22.25,127,"close up of kellys eyes.png",1344x768,781.08,a66444cc999966649cce53399933999c73338ccd5199ae66598c9b33cb6639b3
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-011-why-patience-pays-off.png","lesson-011-why-patience-pays-off.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,30.25,119,"head and shoulders without chair.png",1344x768,937.87,c64ce6cda8d9b91419931b33d1b283f6a93dab870b105e6154e684fcac6be867
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-013-what-courage-really-means.png","lesson-013-what-courage-really-means.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,36.5,113,"close up of kellys eyes.png",1344x768,799.46,9b363b6dd2d266c9ec960d936494825b3f6dd26c3f2660cc9f3370240dc3cc1b
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-012-how-gratitude-changes-you.png","lesson-012-how-gratitude-changes-you.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,28.75,121,"close up of kellys eyes.png",1344x768,925.01,869a7559d3246299d9c99326dbdc5ac6a9658d92c9564ccb7571a8ca55632aab
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-015-how-your-body-stays-balanced.png","lesson-015-how-your-body-stays-balanced.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",SUSPICIOUS,40.25,109,"profile of kelly.png",1344x768,658.59,f22603339ddd72248df3d8cc8c33dcce9998cce300cccd9bd8e71999ccd9198c
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-013-why-we-dream.png","lesson-013-why-we-dream.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,28.5,121,"facing to the left.png",1344x768,927.36,b198b59c0e63438cd43c0c638f46c8fb7ce6b72d5cc3a3ce0af87c27971449d4
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-014-why-curious-people-learn-more.png","lesson-014-why-curious-people-learn-more.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,29.75,120,"Curious Kelly in final pose in Chair - UI elements will go on the side rails - Copy.png",1344x768,764.28,a3767c33c8cc3332dce39d9c5da189cc5999d8e7c54c38d38f041999999b6389
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-014-the-power-of-questions.png","lesson-014-the-power-of-questions.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,39.0,111,"close up of kellys eyes.png",1344x768,867.8,941c55deaae15c3ce3e343c3a3ae51f0af83d07c8fc1601f9fc0c387f5c3089c
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-016-why-breathing-matters.png","lesson-016-why-breathing-matters.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,25.5,124,"close up of kellys eyes.png",1344x768,671.01,b3333e73198ce3368ccef88c0df999cc59198ccb48cc8f29d9461999eed3344c
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-015-how-your-brain-learns.png","lesson-015-how-your-brain-learns.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,38.0,112,"close up of kellys eyes.png",1344x768,970.39,96641966b1997193c99b49396d7391cc2b23866c366696df6a6ea9994772491b
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-018-what-happens-when-you-rest.png","lesson-018-what-happens-when-you-rest.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,38.5,111,"close up of kellys eyes.png",1344x768,715.01,91ce19c6cc3131cee70e0e31e647cf1c3671c31c3e78c88733bcc4318ff76471
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-017-why-bodies-need-to-move.png","lesson-017-why-bodies-need-to-move.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,36.0,114,"close up of kellys eyes.png",1344x768,1093.38,c3110c99f33d189af8ff81375ece85c75d8f8b7c91c048fb944ccea2187c9654
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-019-how-energy-changes-form.png","lesson-019-how-energy-changes-form.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",SUSPICIOUS,52.25,97,"profile of kelly.png",1344x768,741.33,f3763e731dcc433088f3d88c1f39ccc63198cce13c0ec9d91837c9991dfde08c
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-017-why-mistakes-matter.png","lesson-017-why-mistakes-matter.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",SUSPICIOUS,47.5,102,"facing to the left.png",1344x768,980.81,b333b3335cc65cc38ccc4ccc5cc694da0e4c19649993e8d94a4cd3a6ef934ecd
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-016-what-makes-music-feel.png","lesson-016-what-makes-music-feel.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,30.0,120,"close up of kellys eyes.png",1344x768,1071.16,8333c667eccc2d5bccc54389e1d9f854749458e278fa5a3b918724712352dbd6
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-018-how-plants-eat-sunlight.png","lesson-018-how-plants-eat-sunlight.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,22.75,127,"close up of kellys eyes.png",1344x768,1104.87,943394b391fe263297644cae96c7ce0c167bccc618eca5e6d6662d61d0f62f05
