file_path,file_name,folder,status,confidence,min_distance,closest_reference,face_detected
"C:\Users\user\UI-TARS-desktop\kelly-lora-test.png","kelly-lora-test.png","C:\Users\user\UI-TARS-desktop",MATCH,74.0,0.2604,"Curious Kelly in final pose in Chair - UI elements will go on the side rails - Copy.png",True
"C:\Users\user\UI-TARS-desktop\test_kelly_character_consistent.png","test_kelly_character_consistent.png","C:\Users\user\UI-TARS-desktop",NO_MATCH,29.7,0.7027,"neutral face with hair.png",True
"C:\Users\user\UI-TARS-desktop\public\kelly\choices\choice_left.png","choice_left.png","C:\Users\user\UI-TARS-desktop\public\kelly\choices",MATCH,84.5,0.1551,"Curious Kelly in final pose in Chair - UI elements will go on the side rails - Copy.png",True
"C:\Users\user\UI-TARS-desktop\public\kelly\choices\choice_right.png","choice_right.png","C:\Users\user\UI-TARS-desktop\public\kelly\choices",MATCH,82.0,0.1803,"Curious Kelly in final pose in Chair - UI elements will go on the side rails - Copy.png",True
"C:\Users\user\UI-TARS-desktop\public\kelly\day-001-perfect\hook\kelly-forest-welcome.png","kelly-forest-welcome.png","C:\Users\user\UI-TARS-desktop\public\kelly\day-001-perfect\hook",MATCH,83.8,0.1618,"Curious Kelly in final pose in Chair - UI elements will go on the side rails - Copy.png",True
"C:\Users\user\UI-TARS-desktop\public\kelly\day-001-perfect\q1\kelly-examining-leaf.png","kelly-examining-leaf.png","C:\Users\user\UI-TARS-desktop\public\kelly\day-001-perfect\q1",SUSPICIOUS,50.6,0.4937,"neutral face with hair.png",True
"C:\Users\user\UI-TARS-desktop\public\kelly\day-001-perfect\q2\kelly-thinking-tree.png","kelly-thinking-tree.png","C:\Users\user\UI-TARS-desktop\public\kelly\day-001-perfect\q2",SUSPICIOUS,56.3,0.4372,"Curious Kelly in final pose in Chair - UI elements will go on the side rails - Copy.png",True
"C:\Users\user\UI-TARS-desktop\public\kelly\day-001-perfect\q3\kelly-roots.png","kelly-roots.png","C:\Users\user\UI-TARS-desktop\public\kelly\day-001-perfect\q3",NO_MATCH,37.8,0.6219,"profile of kelly.png",True
"C:\Users\user\UI-TARS-desktop\public\kelly\day-001-perfect\wisdom\kelly-wisdom-tree.png","kelly-wisdom-tree.png","C:\Users\user\UI-TARS-desktop\public\kelly\day-001-perfect\wisdom",MATCH,64.9,0.3515,"head and shoulders without chair.png",True
"C:\Users\user\UI-TARS-desktop\public\kelly\lessons\001\lesson-1-bg.png","lesson-1-bg.png","C:\Users\user\UI-TARS-desktop\public\kelly\lessons\001",NO_MATCH,32.9,0.6713,"profile of kelly.png",True
"C:\Users\user\UI-TARS-desktop\public\kelly\lessons\001\lesson-1-guide-point.png","lesson-1-guide-point.png","C:\Users\user\UI-TARS-desktop\public\kelly\lessons\001",SUSPICIOUS,53.2,0.4682,"Curious Kelly in final pose in Chair - UI elements will go on the side rails - Copy.png",True
"C:\Users\user\UI-TARS-desktop\public\kelly\lessons\001\lesson-1-hero.png","lesson-1-hero.png","C:\Users\user\UI-TARS-desktop\public\kelly\lessons\001",NO_MATCH,39.8,0.6023,"facing to the left.png",True
"C:\Users\user\UI-TARS-desktop\public\kelly\lessons\001\lesson-1-prop.png","lesson-1-prop.png","C:\Users\user\UI-TARS-desktop\public\kelly\lessons\001",MATCH,69.2,0.3084,"head and shoulders without chair.png",True
"C:\Users\user\UI-TARS-desktop\public\kelly\lessons\001\lesson-1-reaction.png","lesson-1-reaction.png","C:\Users\user\UI-TARS-desktop\public\kelly\lessons\001",SUSPICIOUS,54.8,0.4524,"Curious Kelly in final pose in Chair - UI elements will go on the side rails - Copy.png",True
"C:\Users\user\UI-TARS-desktop\public\kelly\lessons\002\lesson-2-bg.png","lesson-2-bg.png","C:\Users\user\UI-TARS-desktop\public\kelly\lessons\002",NO_MATCH,44.2,0.5583,"neutral face with hair.png",True
"C:\Users\user\UI-TARS-desktop\public\kelly\lessons\002\lesson-2-guide-point.png","lesson-2-guide-point.png","C:\Users\user\UI-TARS-desktop\public\kelly\lessons\002",MATCH,61.7,0.3826,"head and shoulders without chair.png",True
"C:\Users\user\UI-TARS-desktop\public\kelly\lessons\002\lesson-2-hero.png","lesson-2-hero.png","C:\Users\user\UI-TARS-desktop\public\kelly\lessons\002",NO_MATCH,32.8,0.6723,"facing to the left.png",True
"C:\Users\user\UI-TARS-desktop\public\kelly\lessons\002\lesson-2-prop.png","lesson-2-prop.png","C:\Users\user\UI-TARS-desktop\public\kelly\lessons\002",NO_MATCH,39.1,0.6086,"neutral face with hair.png",True
"C:\Users\user\UI-TARS-desktop\public\kelly\lessons\002\lesson-2-reaction.png","lesson-2-reaction.png","C:\Users\user\UI-TARS-desktop\public\kelly\lessons\002",SUSPICIOUS,58.5,0.4150,"head and shoulders without chair.png",True
"C:\Users\user\UI-TARS-desktop\public\kelly\lessons\003\lesson-3-bg.png","lesson-3-bg.png","C:\Users\user\UI-TARS-desktop\public\kelly\lessons\003",NO_MATCH,43.2,0.5684,"neutral face with hair.png",True
