time_s,rms_db,f0_hz,pitch_conf
0.0,-93.72811,0.0,0.01
0.032,-93.34375,0.0,0.01
0.064,-91.89865,0.0,0.01
0.096,-90.95485,0.0,0.01
0.128,-90.92299,0.0,0.01
0.16,-45.356026,0.0,0.010259050559778863
0.192,-34.468838,249.81097439559304,0.010052967545965857
0.224,-25.505726,241.30149553281768,0.4260623290432809
0.256,-25.211308,241.30149553281768,0.5485250542599845
0.288,-25.014322,241.30149553281768,0.279605165336359
0.32,-24.890318,241.30149553281768,0.04768699308253103
0.352,-29.101303,0.0,0.010000000001606035
0.384,-24.846481,245.51937137864914,0.010349055133375844
0.416,-21.703966,238.52991146631203,0.05607139544589263
0.448,-20.615957,237.15608026942812,0.17653060863289746
0.48,-20.689323,235.7901617579845,0.32333605839064083
0.512,-21.587133,231.73942791006385,0.15046460134333883
0.544,-23.959229,222.55627686642293,0.010259050559778863
0.576,-27.090075,188.23090565017245,0.011422334250709074
0.608,-27.614475,187.14677540918822,0.010259050559778864
0.64,-29.554995,183.93170582347207,0.04069733156888105
0.672,-33.983173,178.6955271983718,0.1504646013433388
0.704,-35.946762,175.62564499846297,0.010000005216229449
0.736,-34.39135,0.0,0.010000000001605648
0.768,-33.538116,0.0,0.01000000081347864
0.8,-33.011295,0.0,0.010000000417904244
0.832,-33.561474,0.0,0.010000000208892648
0.864,-35.557354,0.0,0.010000000021701497
0.896,-37.61432,0.0,0.010000000000221913
0.928,-40.129272,0.0,0.01000000002170159
0.96,-46.258755,0.0,0.010000514211989187
0.992,-76.08169,0.0,0.01000032860450166
1.024,-91.53301,0.0,0.01
1.056,-91.54709,0.0,0.01
1.088,-91.575386,0.0,0.01
1.12,-91.61244,0.0,0.01
1.152,-91.488266,0.0,0.01
1.184,-91.5022,0.0,0.01
1.216,-91.45778,0.0,0.01
1.248,-91.47716,0.0,0.01
1.28,-91.56688,0.0,0.01
1.312,-91.5896,0.0,0.01
1.344,-91.629654,0.0,0.01
1.376,-91.69335,0.0,0.01
1.408,-91.69627,0.0,0.01
1.44,-91.79665,0.0,0.01
1.472,-91.85075,0.0,0.01
1.504,-91.85378,0.0,0.01
1.536,-91.77283,0.0,0.01
1.568,-91.69335,0.0,0.01
1.6,-91.54145,0.0,0.01
1.632,-91.4633,0.0,0.01
1.664,-91.4633,0.0,0.01
1.696,-91.32715,0.0,0.01
1.728,-43.277473,218.73289323986043,0.01002672467381077
1.76,-28.355297,225.1422562392905,0.018187375734912182
1.792,-20.307178,230.40470702053787,0.27960516533635893
1.824,-17.309967,231.73942791006385,0.4849868077159113
1.856,-15.833154,233.08188075904494,0.12793708630129036
1.888,-15.3813505,233.08188075904494,0.1279370863012904
1.92,-16.699413,234.43211035826653,0.10857977072874497
1.952,-19.126722,239.91170118635668,0.32333605839064083
1.984,-21.69453,244.1052838549259,0.09203757081218113
2.016,-22.522676,222.55627686642293,0.4260623290432809
2.048,-20.932291,219.99999999999997,0.6159498854580681
2.08,-19.896255,216.22053167995523,0.37213589829750887
2.112,-19.745396,212.505992363466,0.03010686179419501
2.144,-20.241043,206.4563592676515,0.011085791888943373
2.176,-20.800686,202.90956258890662,0.010259050559778861
2.208,-21.455746,199.42369775418427,0.010259050559778863
2.24,-22.741213,194.86885420251932,0.026168028608935752
2.272,-24.28958,191.5211239251473,0.4849868077159113
2.304,-26.24603,189.3213161937526,0.6860828109301791
2.336,-28.554544,190.41804342135148,0.6159498854580682
2.368,-31.234114,194.86885420251932,0.6159498854580682
2.4,-34.069935,206.4563592676515,0.9459302094659092
2.432,-38.61766,210.06515286029162,0.9459302094659091
2.464,-59.862255,221.27444703492776,0.09203757081218113
2.496,-73.48935,206.4563592676515,0.06608151270920701
2.528,-85.54414,216.22053167995523,0.034897428019625254
2.56,-91.30309,0.0,0.01
2.592,-90.48204,0.0,0.01
2.624,-38.447296,230.40470702053787,0.011422334250709074
2.656,-29.156845,219.99999999999997,0.09203757081218113
2.688,-21.595057,222.55627686642293,0.4260623290432809
2.72,-18.74562,222.55627686642293,0.6860828109301791
2.752,-18.264147,222.55627686642293,0.8266685594724996
2.784,-18.474913,222.55627686642293,0.8266685594724997
2.816,-20.681364,221.27444703492776,0.7571601330199093
2.848,-24.308891,214.97519305553408,0.24075439447557417
2.88,-22.672543,213.73702705379327,0.37213589829750887
2.912,-21.39709,213.73702705379327,0.5485250542599845
2.944,-20.408842,212.505992363466,0.6159498854580682
2.976,-20.124912,212.505992363466,0.6860828109301791
3.008,-20.511154,212.505992363466,0.4849868077159113
3.04,-20.41806,213.73702705379327,0.37213589829750887
3.072,-19.986814,218.73289323986043,0.6860828109301792
3.104,-20.305384,219.99999999999997,0.8266685594724995
3.136,-21.369516,219.99999999999997,0.6860828109301791
3.168,-22.687647,221.27444703492776,0.27960516533635904
3.2,-25.916159,207.65234878997256,0.047686993082531035
3.232,-29.693417,198.27510177438265,0.010349055133309991
3.264,-32.647266,0.0,0.010000011585727985
