time_s,head_tilt_deg,smile_detected,bg_edge_density
0.0,60.376251248826186,1,0.03975115740740741
2.0713636363636363,60.376251248826186,1,0.03975115740740741
4.142727272727273,60.376251248826186,1,0.03975115740740741
6.214090909090909,60.376251248826186,1,0.03975115740740741
8.285454545454545,60.376251248826186,1,0.03975115740740741
10.35681818181818,60.376251248826186,1,0.03975115740740741
12.428181818181818,60.376251248826186,1,0.03975115740740741
14.499545454545455,60.376251248826186,1,0.03975115740740741
16.57090909090909,60.376251248826186,1,0.03975115740740741
18.642272727272726,60.376251248826186,1,0.03975115740740741
20.71363636363636,60.376251248826186,1,0.03975115740740741
22.785,60.376251248826186,1,0.03975115740740741
